888,3,7,12,31,34,38
889,3,13,29,38,39,42
890,1,4,14,18,29,37
891,9,13,28,31,39,41
892,4,9,17,18,26,42
893,1,15,17,23,25,41
894,19,32,37,40,41,43
895,16,26,31,38,39,41
896,5,12,25,26,38,45
897,6,7,12,22,26,36
898,18,21,28,35,37,42
899,8,19,20,21,33,39
900,7,13,16,18,35,38
901,5,18,20,23,30,34
902,7,19,23,24,36,39
903,2,15,16,21,22,28
904,2,6,8,26,43,45
905,3,4,16,27,38,40
906,2,5,14,28,31,32
907,21,27,29,38,40,44
908,3,16,21,22,23,44
909,7,24,29,30,34,35
910,1,11,17,27,35,39
911,4,5,12,14,32,42
912,5,8,18,21,22,38
913,6,14,16,21,27,37
914,16,19,24,33,42,44
915,2,6,11,13,22,37
916,6,21,22,32,35,36
917,1,3,23,24,27,43
918,7,11,12,31,33,38
919,9,14,17,18,42,44
920,2,3,26,33,34,43
921,5,7,12,22,28,41
922,2,6,13,17,27,43
923,3,17,18,23,36,41
924,3,11,34,42,43,44
925,13,24,32,34,39,42
926,10,16,18,20,25,31
927,4,15,22,38,41,43
928,3,4,10,20,28,44
929,7,9,12,15,19,23
930,8,21,25,38,39,44
931,14,15,23,25,35,43
932,1,6,15,36,37,38
933,23,27,29,31,36,45
934,1,3,30,33,36,39
935,4,10,20,32,38,44
936,7,11,13,17,18,29
937,2,10,13,22,29,40
938,4,8,10,16,31,36
939,4,11,28,39,42,45
940,3,15,20,22,24,41
941,12,14,25,27,39,40
942,10,12,18,35,42,43
943,1,8,13,36,44,45
944,2,13,16,19,32,33
945,9,10,15,30,33,37
946,9,18,19,30,34,40
947,3,8,17,20,27,35
948,13,18,30,31,38,41
949,14,21,35,36,40,44
950,3,4,15,22,28,40
951,2,12,30,31,39,43
952,4,12,22,24,33,41
953,7,9,22,27,37,42
954,1,9,26,28,30,41
955,4,9,23,26,29,33
956,10,11,20,21,25,41
957,4,15,24,35,36,40
958,2,9,10,16,35,37
959,1,14,15,24,40,41
960,2,18,24,30,32,45
961,11,20,29,31,33,42
962,1,18,28,31,34,43
963,6,12,19,23,34,42
964,6,21,36,38,39,43
965,2,13,25,28,29,36
966,1,21,25,29,34,37
967,1,6,13,37,38,40
968,2,5,12,14,24,39
969,3,9,10,29,40,45
970,9,11,16,21,28,36
971,2,6,17,18,21,26
972,3,6,17,23,37,39
973,22,26,31,37,41,42
974,1,2,11,16,39,44
975,7,8,9,17,22,24
976,4,12,14,25,35,37
977,2,9,10,14,22,44
978,1,7,15,32,34,42
979,7,11,16,21,27,33
980,3,13,16,23,24,35
981,27,36,37,41,43,45
982,5,7,13,20,21,44
983,13,23,26,31,35,43
984,3,10,23,35,36,37
985,17,21,23,30,34,44
986,7,10,16,28,41,42
987,2,4,15,23,29,38
988,2,13,20,30,31,41
989,17,18,21,27,29,33
990,2,4,25,26,36,37
991,13,18,25,31,33,44
992,12,20,26,33,44,45
993,6,14,16,18,24,42
994,1,3,8,24,27,35
995,1,4,13,29,38,39
996,6,11,15,24,32,39
997,4,7,14,16,24,44
998,13,17,18,20,42,45
999,1,3,9,14,18,28
1000,2,8,19,22,32,42
1001,6,10,12,14,20,42
1002,17,25,33,35,38,45
1003,1,4,29,39,43,45
1004,7,15,30,37,39,44
1005,8,13,18,24,27,29
1006,8,11,15,16,17,37
1007,8,11,16,19,21,25
1008,9,11,30,31,41,44
1009,15,23,29,34,40,44
1010,9,12,15,25,34,36
1011,1,9,12,26,35,38
1012,5,11,18,20,35,45
1013,21,22,26,34,36,41
1014,3,11,14,18,26,27
1015,14,23,31,33,37,40
1016,15,26,28,34,41,42
1017,12,18,22,23,30,34
1018,3,19,21,25,37,45
1019,1,4,13,17,34,39
1020,12,27,29,38,41,45
1021,12,15,17,24,29,45
1022,5,6,11,29,42,45
1023,10,14,16,18,29,35
1024,9,18,20,22,38,44
1025,8,9,20,25,29,33
1026,5,12,13,31,32,41
1027,14,16,27,35,39,45
1028,5,7,12,13,18,35
1029,12,30,32,37,39,41
1030,2,5,11,17,24,29
1031,6,7,22,32,35,36
1032,1,6,12,19,36,42
1033,3,11,15,20,35,44
1034,26,31,32,33,38,40
1035,9,14,34,35,41,42
1036,2,5,22,32,34,45
1037,2,14,15,22,27,33
1038,7,16,24,27,37,44
1039,2,3,6,19,36,39
